time_ms,vib_count,temp_c,humidity
1000,80,62.4,43
2000,74,60.2,43
3006,79,64.4,43
4006,81,61.3,46
5006,74,62.2,47
6006,75,62.2,43
7011,79,64.8,44
8015,76,64.5,46
9019,80,63.9,44
10023,74,64.2,46
11023,76,61.7,50
12030,78,60.4,40
13030,76,60.5,50
14040,78,64.9,49
15042,73,64.6,41
16049,77,63.1,47
17049,77,63.5,40
18049,79,62.4,41
19053,76,61.9,50
20056,76,64.3,48
21056,76,64.5,44
22062,76,62,47
23067,78,64.3,47
24069,69,60.6,48
25076,67,61.7,49
26076,73,63.4,49
27076,69,64.3,44
28076,67,61.2,44
29080,71,64.4,46
30084,64,65,45
31091,58,60.6,49
32092,66,64.1,44
33097,69,60.5,44
34097,59,60.5,42
35097,68,64.2,47
36097,69,63.7,41
37097,56,60.2,45
38097,66,61.7,47
39097,57,60.3,40
40105,68,61.2,46
41109,66,61.5,45
42109,64,64.9,43
43116,59,62.4,45
44120,65,62.4,44
45120,58,62.5,43
46129,71,64.6,46
47129,62,63.1,50
48138,71,64.4,40
49147,58,63,49
50154,53,60.3,47
51154,61,60.5,48
52161,64,64.6,44
53166,67,64.6,48
54166,68,60.1,49
55172,71,61.9,44
56177,72,60.3,47
57181,71,61.9,45
58183,76,63.5,49
59188,77,62.5,42
60190,72,61.7,48
61198,69,62.3,45
62199,76,60.2,40
63203,75,64.9,50
64208,73,64.1,41
65208,71,61.9,46
66214,70,63.9,43
67222,73,64.8,49
68232,73,60.2,43
69232,74,63.4,50
70233,69,63.4,45
71233,67,61.2,46
72233,65,64.2,44
73241,74,62.7,44
74243,65,64.6,40
75243,67,61.7,45
76243,68,62.9,47
77243,72,60.8,43
78248,63,61,44
